"Family","LogLik","AIC","BIC","KendallTau","Pair"
"gaussian",38.0401361707699,-74.0802723415398,-67.9923247868971,0.102603061583307,"(X, C1)"
"t",36.3233226711876,-68.6466453423751,-56.4707502330898,0.104030512978388,"(X, C1)"
"clayton",42.8817904421983,-83.7635808843966,-77.6756333297539,0.105632528030411,"(X, C1)"
"gumbel",42.6177608089266,-83.2355216178533,-77.1475740632106,0.108410172251945,"(X, C1)"
"frank",41.2917370771531,-80.5834741543062,-74.4955265996636,0.105744377518358,"(X, C1)"
"joe",39.4133597701851,-76.8267195403701,-70.7387719857275,0.0961266885902665,"(X, C1)"
"BB1",42.8541000842174,-81.7082001684349,-69.5323050591496,0.105876495847943,"(X, C1)"
"BB6",42.6194085068808,-81.2388170137617,-69.0629219044763,0.108304304341696,"(X, C1)"
"BB7",42.834726681422,-81.669453362844,-69.4935582535586,0.105819144332928,"(X, C1)"
"BB8",45.2602372217408,-86.5204744434815,-74.3445793341962,0.107345561604302,"(X, C1)"
"clay180",42.8817904421983,-83.7635808843966,-77.6756333297539,0.105632528030411,"(X, C1)"
"gum180",42.6177608089266,-83.2355216178533,-77.1475740632106,0.108410172251945,"(X, C1)"
"joe180",39.4133597701851,-76.8267195403701,-70.7387719857275,0.0961266885902665,"(X, C1)"
"BB1_180",42.8541000842174,-81.7082001684349,-69.5323050591496,0.105876495847943,"(X, C1)"
"BB6_180",42.6194085068808,-81.2388170137617,-69.0629219044763,0.108304304341696,"(X, C1)"
"BB7_180",42.834726681422,-81.669453362844,-69.4935582535586,0.105819144332928,"(X, C1)"
"BB8_180",45.2602372217408,-86.5204744434815,-74.3445793341962,0.107345561604302,"(X, C1)"
"clay90",42.8817904421983,-83.7635808843966,-77.6756333297539,0.105632528030411,"(X, C1)"
"gum90",42.6177608089266,-83.2355216178533,-77.1475740632106,0.108410172251945,"(X, C1)"
"joe90",39.4133597701851,-76.8267195403701,-70.7387719857275,0.0961266885902665,"(X, C1)"
"clay270",42.8817904421983,-83.7635808843966,-77.6756333297539,0.105632528030411,"(X, C1)"
"gum270",42.6177608089266,-83.2355216178533,-77.1475740632106,0.108410172251945,"(X, C1)"
"joe270",39.4133597701851,-76.8267195403701,-70.7387719857275,0.0961266885902665,"(X, C1)"
"gaussian",0.62908206963688,0.74183586072624,6.82978341536891,-0.0133215044714776,"(Y, C1)"
"t",3.81519227648274,-3.63038455296549,8.54551055631985,-0.012584496119451,"(Y, C1)"
"clayton",1.44844137629781,-0.89688275259563,5.19106480204704,-0.0193666279053121,"(Y, C1)"
"gumbel",1.82282964073289,-1.64565928146578,4.44228827317689,-0.0228334330041203,"(Y, C1)"
"frank",0.460700337459819,1.07859932508036,7.16654687972303,-0.0113458620344679,"(Y, C1)"
"joe",2.27728558834843,-2.55457117669686,3.53337637794581,-0.0235433319208247,"(Y, C1)"
"BB1",1.81205328182918,0.375893436341636,12.551788545627,-0.022894027156916,"(Y, C1)"
"BB6",2.26586879140499,-0.531737582809985,11.6441575264754,-0.0236642946629317,"(Y, C1)"
"BB7",2.29409337309586,-0.588186746191718,11.5877083630936,-0.0243561636456743,"(Y, C1)"
"BB8",0.000284835324971066,3.99943032935006,16.1753254386354,-2.05414283360739e-08,"(Y, C1)"
"clay180",1.44844137629781,-0.89688275259563,5.19106480204704,-0.0193666279053121,"(Y, C1)"
"gum180",1.82282964073289,-1.64565928146578,4.44228827317689,-0.0228334330041203,"(Y, C1)"
"joe180",2.27728558834843,-2.55457117669686,3.53337637794581,-0.0235433319208247,"(Y, C1)"
"BB1_180",1.81205328182918,0.375893436341636,12.551788545627,-0.022894027156916,"(Y, C1)"
"BB6_180",2.26586879140499,-0.531737582809985,11.6441575264754,-0.0236642946629317,"(Y, C1)"
"BB7_180",2.29409337309586,-0.588186746191718,11.5877083630936,-0.0243561636456743,"(Y, C1)"
"BB8_180",0.000284835324971066,3.99943032935006,16.1753254386354,-2.05414283360739e-08,"(Y, C1)"
"clay90",1.44844137629781,-0.89688275259563,5.19106480204704,-0.0193666279053121,"(Y, C1)"
"gum90",1.82282964073289,-1.64565928146578,4.44228827317689,-0.0228334330041203,"(Y, C1)"
"joe90",2.27728558834843,-2.55457117669686,3.53337637794581,-0.0235433319208247,"(Y, C1)"
"clay270",1.44844137629781,-0.89688275259563,5.19106480204704,-0.0193666279053121,"(Y, C1)"
"gum270",1.82282964073289,-1.64565928146578,4.44228827317689,-0.0228334330041203,"(Y, C1)"
"joe270",2.27728558834843,-2.55457117669686,3.53337637794581,-0.0235433319208247,"(Y, C1)"
"gaussian",3.42247199423068,-4.84494398846136,1.24300356618131,0.0294546324178058,"(X, Y)"
"t",2.04641620748815,-0.0928324149762947,12.083062694309,0.0298028702168372,"(X, Y)"
"clayton",2.38043222491832,-2.76086444983664,3.32708310480603,0.020260025307028,"(X, Y)"
"gumbel",1.90994546152123,-1.81989092304246,4.26805663160021,0.018799369556234,"(X, Y)"
"frank",3.89125122352448,-5.78250244704896,0.305445107593707,0.0326549539005476,"(X, Y)"
"joe",0.975161259332815,0.049677481334371,6.13762503597704,0.0102876754139961,"(X, Y)"
"BB1",2.62491726956291,-1.24983453912583,10.9260605701595,0.0238802059107585,"(X, Y)"
"BB6",1.87282073094351,0.254358538112981,12.4302536473983,0.0186934987481264,"(X, Y)"
"BB7",2.44053247950496,-0.881064959009914,11.2948301502754,0.0221855193158935,"(X, Y)"
"BB8",3.98782954794785,-3.97565909589569,8.20023601338965,0.0328515473946862,"(X, Y)"
"clay180",2.38043222491832,-2.76086444983664,3.32708310480603,0.020260025307028,"(X, Y)"
"gum180",1.90994546152123,-1.81989092304246,4.26805663160021,0.018799369556234,"(X, Y)"
"joe180",0.975161259332815,0.049677481334371,6.13762503597704,0.0102876754139961,"(X, Y)"
"BB1_180",2.62491726956291,-1.24983453912583,10.9260605701595,0.0238802059107585,"(X, Y)"
"BB6_180",1.87282073094351,0.254358538112981,12.4302536473983,0.0186934987481264,"(X, Y)"
"BB7_180",2.44053247950496,-0.881064959009914,11.2948301502754,0.0221855193158935,"(X, Y)"
"BB8_180",3.98782954794785,-3.97565909589569,8.20023601338965,0.0328515473946862,"(X, Y)"
"clay90",2.38043222491832,-2.76086444983664,3.32708310480603,0.020260025307028,"(X, Y)"
"gum90",1.90994546152123,-1.81989092304246,4.26805663160021,0.018799369556234,"(X, Y)"
"joe90",0.975161259332815,0.049677481334371,6.13762503597704,0.0102876754139961,"(X, Y)"
"clay270",2.38043222491832,-2.76086444983664,3.32708310480603,0.020260025307028,"(X, Y)"
"gum270",1.90994546152123,-1.81989092304246,4.26805663160021,0.018799369556234,"(X, Y)"
"joe270",0.975161259332815,0.049677481334371,6.13762503597704,0.0102876754139961,"(X, Y)"
