Family,LogLik,AIC,BIC,KendallTau,Pair
gaussian,38.0401361707699,-74.0802723415398,-67.99232478689713,0.10260306158330715,"(X, C1)"
t,36.323322671187555,-68.64664534237511,-56.470750233089774,0.10403051297838839,"(X, C1)"
clayton,42.88179044219828,-83.76358088439656,-77.6756333297539,0.1056325280304115,"(X, C1)"
gumbel,42.61776080892665,-83.2355216178533,-77.14757406321063,0.10841017225194494,"(X, C1)"
frank,41.291737077153115,-80.58347415430623,-74.49552659966356,0.10574437751835825,"(X, C1)"
joe,39.41335977018506,-76.82671954037012,-70.73877198572745,0.09612668859026652,"(X, C1)"
BB1,42.85410008421745,-81.7082001684349,-69.53230505914956,0.10587649584794345,"(X, C1)"
BB6,42.61940850688084,-81.23881701376168,-69.06292190447634,0.10830430434169624,"(X, C1)"
BB7,42.83472668142198,-81.66945336284395,-69.49355825355862,0.1058191443329276,"(X, C1)"
BB8,45.26023722174075,-86.5204744434815,-74.34457933419617,0.10734556160430209,"(X, C1)"
clay180,42.88179044219828,-83.76358088439656,-77.6756333297539,0.1056325280304115,"(X, C1)"
gum180,42.61776080892665,-83.2355216178533,-77.14757406321063,0.10841017225194494,"(X, C1)"
joe180,39.41335977018506,-76.82671954037012,-70.73877198572745,0.09612668859026652,"(X, C1)"
BB1_180,42.85410008421745,-81.7082001684349,-69.53230505914956,0.10587649584794345,"(X, C1)"
BB6_180,42.61940850688084,-81.23881701376168,-69.06292190447634,0.10830430434169624,"(X, C1)"
BB7_180,42.83472668142198,-81.66945336284395,-69.49355825355862,0.1058191443329276,"(X, C1)"
BB8_180,45.26023722174075,-86.5204744434815,-74.34457933419617,0.10734556160430209,"(X, C1)"
clay90,42.88179044219828,-83.76358088439656,-77.6756333297539,0.1056325280304115,"(X, C1)"
gum90,42.61776080892665,-83.2355216178533,-77.14757406321063,0.10841017225194494,"(X, C1)"
joe90,39.41335977018506,-76.82671954037012,-70.73877198572745,0.09612668859026652,"(X, C1)"
clay270,42.88179044219828,-83.76358088439656,-77.6756333297539,0.1056325280304115,"(X, C1)"
gum270,42.61776080892665,-83.2355216178533,-77.14757406321063,0.10841017225194494,"(X, C1)"
joe270,39.41335977018506,-76.82671954037012,-70.73877198572745,0.09612668859026652,"(X, C1)"
gaussian,0.6290820696368801,0.7418358607262399,6.829783415368909,-0.013321504471477634,"(Y, C1)"
t,3.8151922764827435,-3.630384552965487,8.54551055631985,-0.012584496119451036,"(Y, C1)"
clayton,1.448441376297815,-0.89688275259563,5.191064802047039,-0.0193666279053121,"(Y, C1)"
gumbel,1.822829640732892,-1.6456592814657842,4.442288273176885,-0.02283343300412033,"(Y, C1)"
frank,0.46070033745981864,1.0785993250803627,7.1665468797230325,-0.011345862034467948,"(Y, C1)"
joe,2.277285588348431,-2.5545711766968617,3.5333763779458076,-0.023543331920824695,"(Y, C1)"
BB1,1.812053281829182,0.3758934363416362,12.551788545626975,-0.02289402715691602,"(Y, C1)"
BB6,2.2658687914049924,-0.5317375828099848,11.644157526475354,-0.02366429466293174,"(Y, C1)"
BB7,2.294093373095859,-0.5881867461917176,11.587708363093622,-0.024356163645674278,"(Y, C1)"
BB8,2.848353249710665e-4,3.9994303293500577,16.175325438635397,-2.0541428336073864e-8,"(Y, C1)"
clay180,1.448441376297815,-0.89688275259563,5.191064802047039,-0.0193666279053121,"(Y, C1)"
gum180,1.822829640732892,-1.6456592814657842,4.442288273176885,-0.02283343300412033,"(Y, C1)"
joe180,2.277285588348431,-2.5545711766968617,3.5333763779458076,-0.023543331920824695,"(Y, C1)"
BB1_180,1.812053281829182,0.3758934363416362,12.551788545626975,-0.02289402715691602,"(Y, C1)"
BB6_180,2.2658687914049924,-0.5317375828099848,11.644157526475354,-0.02366429466293174,"(Y, C1)"
BB7_180,2.294093373095859,-0.5881867461917176,11.587708363093622,-0.024356163645674278,"(Y, C1)"
BB8_180,2.848353249710665e-4,3.9994303293500577,16.175325438635397,-2.0541428336073864e-8,"(Y, C1)"
clay90,1.448441376297815,-0.89688275259563,5.191064802047039,-0.0193666279053121,"(Y, C1)"
gum90,1.822829640732892,-1.6456592814657842,4.442288273176885,-0.02283343300412033,"(Y, C1)"
joe90,2.277285588348431,-2.5545711766968617,3.5333763779458076,-0.023543331920824695,"(Y, C1)"
clay270,1.448441376297815,-0.89688275259563,5.191064802047039,-0.0193666279053121,"(Y, C1)"
gum270,1.822829640732892,-1.6456592814657842,4.442288273176885,-0.02283343300412033,"(Y, C1)"
joe270,2.277285588348431,-2.5545711766968617,3.5333763779458076,-0.023543331920824695,"(Y, C1)"
gaussian,3.4224719942306794,-4.844943988461359,1.2430035661813106,0.029454632417805753,"(X, Y)"
t,2.0464162074881473,-0.09283241497629469,12.083062694309044,0.02980287021683719,"(X, Y)"
clayton,2.3804322249183176,-2.7608644498366353,3.327083104806034,0.020260025307028,"(X, Y)"
gumbel,1.9099454615212297,-1.8198909230424594,4.26805663160021,0.018799369556233958,"(X, Y)"
frank,3.891251223524481,-5.782502447048962,0.305445107593707,0.03265495390054764,"(X, Y)"
joe,0.9751612593328145,0.049677481334371,6.13762503597704,0.010287675413996111,"(X, Y)"
BB1,2.6249172695629146,-1.2498345391258292,10.92606057015951,0.023880205910758456,"(X, Y)"
BB6,1.8728207309435094,0.25435853811298115,12.43025364739832,0.018693498748126425,"(X, Y)"
BB7,2.440532479504957,-0.8810649590099144,11.294830150275423,0.02218551931589352,"(X, Y)"
BB8,3.9878295479478454,-3.9756590958956908,8.200236013389649,0.03285154739468621,"(X, Y)"
clay180,2.3804322249183176,-2.7608644498366353,3.327083104806034,0.020260025307028,"(X, Y)"
